category,name,latitude,longitude,city,state,osm_url,matched_keyword,km_to_town,review
roadside-oddities,World's Largest Peanut,33.992736,-96.378405,Durant,OK,https://www.openstreetmap.org/node/5766335229,,0.7,
roadside-oddities,World's Largest Bowie Knife,33.547184,-97.832162,Bowie,TX,https://www.openstreetmap.org/node/8301072917,,2.0,
roadside-oddities,World's Largest Christmas Pickle,35.312973,-94.332372,Barling,AR,https://www.openstreetmap.org/node/8190829531,,3.1,
roadside-oddities,World's Largest Amish Chair,34.843965,-83.935105,Blairsville,GA,https://www.openstreetmap.org/node/9572475278,,4.2,
roadside-oddities,World's Largest Chest of Drawers,35.96358,-80.008257,High Point,NC,https://www.openstreetmap.org/node/2687808860,,,
roadside-oddities,The Big Chair,35.882914,-80.082031,Thomasville,NC,https://www.openstreetmap.org/node/2867337145,,0.0,
roadside-oddities,Mystery Spot,37.017283,-122.003751,Santa Cruz,CA,https://www.openstreetmap.org/relation/15894383,,,
roadside-oddities,World's Largest Easel,39.338009,-101.7049,Goodland,KS,https://www.openstreetmap.org/node/9002468019,,1.5,
roadside-oddities,World's Largest Czech Egg,38.824102,-98.472706,Ellsworth,KS,https://www.openstreetmap.org/node/4320464383,,23.6,
roadside-oddities,World's Largest Collection of the World's Smallest Versions of the World's Largest Things,39.057611,-98.537771,Lucas,KS,https://www.openstreetmap.org/node/13897623238,,,
museums,World's Largest Toy Museum,36.646433,-93.287465,Branson,MO,https://www.openstreetmap.org/node/2702270051,,,
roadside-oddities,World's Largest Fork,37.145369,-93.323274,Battlefield,MO,https://www.openstreetmap.org/node/5034912209,,5.3,
roadside-oddities,World's largest rocker,38.037444,-91.469595,Cuba,MO,https://www.openstreetmap.org/node/5934936991,,6.4,
roadside-oddities,World's Largest Catsup Bottle,38.662906,-89.982241,Collinsville,IL,https://www.openstreetmap.org/way/1352431852,,0.8,
roadside-oddities,Worlds Largest Rocking Chair,39.300014,-87.99111,Casey,IL,https://www.openstreetmap.org/node/6449803785,,0.2,
roadside-oddities,World's Largest Windchime,39.299581,-87.991057,Casey,IL,https://www.openstreetmap.org/node/13837030495,,0.1,
roadside-oddities,World's Biggest Yard Stick,39.299351,-87.992062,Casey,IL,https://www.openstreetmap.org/node/13837050629,,0.0,
roadside-oddities,World's Largest Knitting Needles,39.299502,-87.992594,Casey,IL,https://www.openstreetmap.org/node/13837050665,,0.0,
